localword,tweetid,type
bridgestone arena_0,"[[778747061889929216, 778785406380900353, 778833260881117184, 778835540443475968, 778846882508345344, 778936773887922176, 779094387099734016, 779102204405882880, 779132671188434944, 779134671477207040, 779134974188412928, 779148248694927360, 779151181675319296, 779155228713226241, 779159335448510464, 778809791674068992, 779167479364984832]]",topic 63
bristol motor speedway_0,"[[777527272123174913, 777962489044668417, 778713621643657216]]",topic 37
bristol motor speedway_0,"[[777527272123174913, 777962489044668417, 778713621643657216]]",topic 36
brockville_3,"[[777625885197283328, 777978941847969793, 778245380643311616, 778450562157117440, 778587808365551616]]",topic 16
bronco_0,"[[777601531956822016, 777610669445087232, 777616556201238529, 777650186436743168, 777655162869575680, 777678410604744709]]",topic 37
bronco_0,"[[777601531956822016, 777610669445087232, 777616556201238529, 777650186436743168, 777655162869575680, 777678410604744709]]",topic 36
broncos win_0,"[[777634288514859008, 777655205416407040, 777669562892365824, 777671247106899968, 777676087761534976]]",topic 37
broncos win_0,"[[777634288514859008, 777655205416407040, 777669562892365824, 777671247106899968, 777676087761534976]]",topic 36
broncos_7,"[[777564995643117569, 777567126462791680, 777590902743150592, 777591899108540417, 777618127009964032, 777619001526607872, 777629180230074368, 777629833887035392, 777655162869575680, 777664464938110977, 777674713262764032, 777684239814754304]]",topic 37
broncos_7,"[[777564995643117569, 777567126462791680, 777590902743150592, 777591899108540417, 777618127009964032, 777619001526607872, 777629180230074368, 777629833887035392, 777655162869575680, 777664464938110977, 777674713262764032, 777684239814754304]]",topic 36
broncos_8,"[[777522501102559232, 777545349112004608, 777616352274022401]]",topic 80
broncoscountry_0,"[[777575874631602176, 777596893027237888, 777605393518325764, 777619001526607872, 777619419052797953, 777667205290799104, 777667308345028608, 777693718749057024, 777724532262047744]]",topic 36
broncoscountry_0,"[[777575874631602176, 777596893027237888, 777605393518325764, 777619001526607872, 777619419052797953, 777667205290799104, 777667308345028608, 777693718749057024, 777724532262047744]]",topic 37
brooking_0,"[[777975364203245568, 778218445158481921, 778317076503166976, 778336003350077440, 778681849602158592, 778696876845506563, 778954439042498560]]",topic 16
brooklyn book_0,"[[777509572655349761, 777533298532900864, 777553729524494336, 777557143717306368, 777561667177553920, 777603884302868480, 777610500171497472, 777668892051185665]]",topic 61
brooklyn book_0,"[[777509572655349761, 777533298532900864, 777553729524494336, 777557143717306368, 777561667177553920, 777603884302868480, 777610500171497472, 777668892051185665]]",topic 58
brooklyn bridge_0,"[[777502419081129984, 777510634200174593, 777540706801950721, 777558090128457728, 777610915940298752, 777636367077474304, 777682077005164544, 777372737329328131, 777848282806714369, 777877805086408704, 777888742614769664, 777974400578572288, 777984069271326721, 777996106991038464, 778049978853945346, 778054622548221952, 778264183142019072, 778318683525550080, 778322848922406912, 778404747564969984, 778426627890044928, 778582450473689088, 778597785067098112, 778754948859166720, 778757063274934272, 778796977878368257, 778799294136455168, 778800192225017856, 779019557910482944, 779044321186242565, 779100406421028864, 779114317673357312, 779132626313572352, 779157374019907584, 778810335574626307, 779166515786489856]]",topic 64
brooklyn bridge_0,"[[777502419081129984, 777510634200174593, 777540706801950721, 777558090128457728, 777610915940298752, 777636367077474304, 777682077005164544, 777372737329328131, 777848282806714369, 777877805086408704, 777888742614769664, 777974400578572288, 777984069271326721, 777996106991038464, 778049978853945346, 778054622548221952, 778264183142019072, 778318683525550080, 778322848922406912, 778404747564969984, 778426627890044928, 778582450473689088, 778597785067098112, 778754948859166720, 778757063274934272, 778796977878368257, 778799294136455168, 778800192225017856, 779019557910482944, 779044321186242565, 779100406421028864, 779114317673357312, 779132626313572352, 779157374019907584, 778810335574626307, 779166515786489856]]",topic 58
brooklynbookfestival_0,"[[777545893142679552, 777574110675214337, 777613125994577925, 777616849836109824, 777622937251688448]]",topic 25
brooklynbookfestival_0,"[[777545893142679552, 777574110675214337, 777613125994577925, 777616849836109824, 777622937251688448]]",topic 26
brooklynbridge_0,"[[777585918395895809, 777604812489814018, 778202296484241408, 778225682438561792, 778261083341619200, 778268901582995458, 778388132915998720, 778398235346014208, 778410994385182721, 778412687898312705, 778649976385728512, 778660494748033025, 778664651202650113, 778664678662688769, 778725294022668288, 778740285727584260, 778799294136455168, 778449190485499904, 778449420824121347, 778814813153611776, 779154300324945920, 779155708596064256, 779166515786489856]]",topic 2
brooklynbridge_0,"[[777585918395895809, 777604812489814018, 778202296484241408, 778225682438561792, 778261083341619200, 778268901582995458, 778388132915998720, 778398235346014208, 778410994385182721, 778412687898312705, 778649976385728512, 778660494748033025, 778664651202650113, 778664678662688769, 778725294022668288, 778740285727584260, 778799294136455168, 778449190485499904, 778449420824121347, 778814813153611776, 779154300324945920, 779155708596064256, 779166515786489856]]",topic 3
brown band_0,"[[777613802070167552, 777643218464804865, 777650238089814016, 777665957384773632, 777693495830188032, 777704610324553729, 777978297825263616]]",topic 61
brown band_0,"[[777613802070167552, 777643218464804865, 777650238089814016, 777665957384773632, 777693495830188032, 777704610324553729, 777978297825263616]]",topic 58
bryant park_0,"[[777894555441967105, 777954276022726660, 778324393072087040, 778333709271433216, 778345593743691776, 778358169189752832, 778370977176616960, 778552677928165376, 778582497915342849, 778703649774055427, 778744215148851200, 779060338176167936, 779076997523714049, 779096495735779328]]",topic 82
bryant park_0,"[[777894555441967105, 777954276022726660, 778324393072087040, 778333709271433216, 778345593743691776, 778358169189752832, 778370977176616960, 778552677928165376, 778582497915342849, 778703649774055427, 778744215148851200, 779060338176167936, 779076997523714049, 779096495735779328]]",topic 81
brycecanyon_0,"[[777515336400834560, 778595533476814849, 778676687118544896]]",topic 83
brycecanyon_0,"[[777515336400834560, 778595533476814849, 778676687118544896]]",topic 81
bucktown_0,"[[778260268019224576, 778272693674139648, 778377084318035968, 778569870266994688, 779025769892806656, 779147338090545152]]",topic 81
bucktown_0,"[[778260268019224576, 778272693674139648, 778377084318035968, 778569870266994688, 779025769892806656, 779147338090545152]]",topic 82
bucs_0,"[[777603081185918976, 777619248407453697, 777619468549812224, 777621921089413120, 777652342816583680]]",topic 37
bucs_0,"[[777603081185918976, 777619248407453697, 777619468549812224, 777621921089413120, 777652342816583680]]",topic 36
bullsonparade_0,"[[777534440503410689, 777548463622021124, 777550358235275264, 777580996485058561]]",topic 80
burlon_0,"[[777592183830355968, 777832488844615680, 778216700936413184, 778224781258731521]]",topic 81
burlon_0,"[[777592183830355968, 777832488844615680, 778216700936413184, 778224781258731521]]",topic 82
burningman_1,"[[777398528150687744, 777433639713988608, 777711071859773441, 777769403635134464, 777949545498116096, 777950262170386433, 777986289656365060, 778015704670953473, 778114699510636544, 778240693336768512, 778305456330641409, 778317614711836672, 778332924554776576, 778344430839312384, 778363485738500096, 778370304468975616, 778390520108318720, 778435887700946944, 778482424904818688, 778535642183634944, 778977559539179520, 778999223299649537, 779071815377227776, 779084079002165249, 779091072198860800]]",topic 81
burningman_1,"[[777398528150687744, 777433639713988608, 777711071859773441, 777769403635134464, 777949545498116096, 777950262170386433, 777986289656365060, 778015704670953473, 778114699510636544, 778240693336768512, 778305456330641409, 778317614711836672, 778332924554776576, 778344430839312384, 778363485738500096, 778370304468975616, 778390520108318720, 778435887700946944, 778482424904818688, 778535642183634944, 778977559539179520, 778999223299649537, 779071815377227776, 779084079002165249, 779091072198860800]]",topic 82
bushwick_0,"[[777506861142581251, 777517661597106176, 777518571110871040, 777525073364353024, 777535084866011136, 777537595706314752, 777540656222736384, 777546210823573504, 777566043677925376, 777652380607275009, 777674239725801472, 777901806542139394, 777916614385799168, 777974070705025024, 777978498195591168, 777988737309474818, 777998420871118848, 778251403127119872, 778263641363652609, 778280523655475200, 778293625977470976, 778326324859531265, 778331013210447872, 778371203174203393, 778651868692111360, 778692407332175873, 778694398020243457, 778750607519801344, 778764812780118020, 778769140798590976, 779045200249356288, 779075310021185536]]",topic 2
bushwick_0,"[[777506861142581251, 777517661597106176, 777518571110871040, 777525073364353024, 777535084866011136, 777537595706314752, 777540656222736384, 777546210823573504, 777566043677925376, 777652380607275009, 777674239725801472, 777901806542139394, 777916614385799168, 777974070705025024, 777978498195591168, 777988737309474818, 777998420871118848, 778251403127119872, 778263641363652609, 778280523655475200, 778293625977470976, 778326324859531265, 778331013210447872, 778371203174203393, 778651868692111360, 778692407332175873, 778694398020243457, 778750607519801344, 778764812780118020, 778769140798590976, 779045200249356288, 779075310021185536]]",topic 3
butchwalker_0,"[[777395457806835712, 777407106194501633, 777411463602434048]]",topic 77
butchwalker_0,"[[777395457806835712, 777407106194501633, 777411463602434048]]",topic 75
butterfly project_0,"[[777606144575537153, 777608213977894912, 779119075716845568]]",topic 2
butterfly project_0,"[[777606144575537153, 777608213977894912, 779119075716845568]]",topic 3
bwi_0,"[[777634908550356992, 777995130804510720, 777996132458913796, 778326767530565632, 778372846007484416, 778547375187038208, 778549212732534784, 778734237910388736, 778737774899793920, 778892228710264832]]",topic 0
bychefchloe_0,"[[778650575567060992, 778696838970957824]]",topic 33
bychefchloe_0,"[[778650575567060992, 778696838970957824]]",topic 34
bychloe_0,"[[778258246075310080, 779064095064494080, 779069119060729856]]",topic 33
bychloe_0,"[[778258246075310080, 779064095064494080, 779069119060729856]]",topic 34
cabazonca_0,"[[777554958472196096, 777962571148120064]]",topic 28
cable car_0,"[[777669386089955328, 777719885690462212, 778128383578374149]]",topic 11
cable car_0,"[[777669386089955328, 777719885690462212, 778128383578374149]]",topic 13
cadillacranch_0,"[[778648669537046528, 778650753074364416, 778732754749927425]]",topic 81
cadillacranch_0,"[[778648669537046528, 778650753074364416, 778732754749927425]]",topic 83
caesar_0,"[[777405237573349378, 777462173467484160, 777947814135492609, 777947824688394240, 778022079731994624, 778057101784584192, 778105919632703488, 778135440213831680, 778345814372458496, 778358429668679680, 778410209823907840]]",topic 83
caesar_0,"[[777405237573349378, 777462173467484160, 777947814135492609, 777947824688394240, 778022079731994624, 778057101784584192, 778105919632703488, 778135440213831680, 778345814372458496, 778358429668679680, 778410209823907840]]",topic 81
caledon_1,"[[777575127911395328, 777712319551905792, 777844774917246976]]",topic 63
caledon_1,"[[777575127911395328, 777712319551905792, 777844774917246976]]",topic 58
caledon_3,"[[777896601587023873, 778566226880540672]]",topic 28
cali_15,"[[777610302150025216, 777641951541813248, 777699885332238336, 777718783943254016, 777361384476663808, 777874323470180353, 777901795972558848, 778063502531522560, 778291333848936449, 778683254459084800, 778685166034169861, 778815950036410368, 778948191794425856, 779011734153535489, 779040556701868032, 779046216898383872, 779084482527817728]]",topic 0
cali_2,"[[777599266474819584, 777607156606472192, 777986880742785026, 778250428332900352, 778969876912336896, 779046603734777856]]",topic 82
cali_2,"[[777599266474819584, 777607156606472192, 777986880742785026, 778250428332900352, 778969876912336896, 779046603734777856]]",topic 81
cali_40,"[[778123966493954056, 778976114584739840, 779123212093427712]]",topic 81
cali_40,"[[778123966493954056, 778976114584739840, 779123212093427712]]",topic 82
cali_49,"[[777634601334218752, 778986750186315776]]",topic 33
cali_49,"[[777634601334218752, 778986750186315776]]",topic 35
cali_51,"[[777380719119175680, 777391372949073920, 777539278909894656, 777640192131858432, 777666784841310212, 777720814493765633, 777975283529965569, 777982466527260672, 777999598220607489, 778044525717565441, 778053228135010304, 778067855313145856, 778246521288531968, 778257254579523584, 778375646871482368, 778387329949978624, 778649068851560449, 778671904181907456, 778747312298299394, 778764444981686272, 778783289234513924, 778793673479688194, 778988502302285824, 779051693124227073, 779053411228585984, 779094743166976001]]",topic 81
cali_51,"[[777380719119175680, 777391372949073920, 777539278909894656, 777640192131858432, 777666784841310212, 777720814493765633, 777975283529965569, 777982466527260672, 777999598220607489, 778044525717565441, 778053228135010304, 778067855313145856, 778246521288531968, 778257254579523584, 778375646871482368, 778387329949978624, 778649068851560449, 778671904181907456, 778747312298299394, 778764444981686272, 778783289234513924, 778793673479688194, 778988502302285824, 779051693124227073, 779053411228585984, 779094743166976001]]",topic 82
cali_53,"[[777701242759970816, 777907845681512448, 777932014532038656, 778138928440303616, 778700023412338688, 778710291752235010, 778751914024407041, 778947855952277504, 779012712898494465]]",topic 81
cali_53,"[[777701242759970816, 777907845681512448, 777932014532038656, 778138928440303616, 778700023412338688, 778710291752235010, 778751914024407041, 778947855952277504, 779012712898494465]]",topic 82
cali_57,"[[777703402860085248, 778248271655493633, 778083314322341889, 778652241997725696, 778675456220532736, 778931794426998784]]",topic 58
cali_57,"[[777703402860085248, 778248271655493633, 778083314322341889, 778652241997725696, 778675456220532736, 778931794426998784]]",topic 63
cali_59,"[[777405251947114496, 777615068599058432, 778028076282290176, 778399410615046145, 779034466404532224]]",topic 34
cali_59,"[[777405251947114496, 777615068599058432, 778028076282290176, 778399410615046145, 779034466404532224]]",topic 33
calif_0,"[[777622838064840704, 777635388399681536, 777646566874177536, 777666803044581378, 777674912823709696, 777364324872556544, 777912007152504832, 777929170139635712, 777947089649238016, 777951004109180928, 777967511723732993]]",topic 34
calif_0,"[[777622838064840704, 777635388399681536, 777646566874177536, 777666803044581378, 777674912823709696, 777364324872556544, 777912007152504832, 777929170139635712, 777947089649238016, 777951004109180928, 777967511723732993]]",topic 33
calif_5,"[[777674912823709696, 777364324872556544, 777929170139635712, 777951004109180928]]",topic 34
calif_5,"[[777674912823709696, 777364324872556544, 777929170139635712, 777951004109180928]]",topic 33
californialove_5,"[[777426082031104000, 777596680594227200, 777676522559836161, 777921379727466497, 777938398904320001, 778122757519400960, 778148404690055168, 778488141762195457, 778812341198524416]]",topic 33
californialove_5,"[[777426082031104000, 777596680594227200, 777676522559836161, 777921379727466497, 777938398904320001, 778122757519400960, 778148404690055168, 778488141762195457, 778812341198524416]]",topic 34
calilife_0,"[[777553838589022208, 777560343534907392, 777591174542397440, 777594542954393605, 778122398210088960, 778410348093276164, 778434238488178688, 778476468837900288, 778577241026551808, 778626467857129472, 778708995192135681]]",topic 80
camden yard_0,"[[778012521840214017, 778038970206662656, 778379580763668480, 779077174997426176, 779096886900879360, 779102604970295297, 779103053915967488, 779130214693478400, 779132488010510336, 779143583496626176, 779143897180057600, 779147147283271680, 779148970849284097, 779156112255881216, 779160206366412800]]",topic 37
camden yard_0,"[[778012521840214017, 778038970206662656, 778379580763668480, 779077174997426176, 779096886900879360, 779102604970295297, 779103053915967488, 779130214693478400, 779132488010510336, 779143583496626176, 779143897180057600, 779147147283271680, 779148970849284097, 779156112255881216, 779160206366412800]]",topic 36
camelback_2,"[[777725682310709248, 779003609455456256]]",topic 52
camelback_2,"[[777725682310709248, 779003609455456256]]",topic 51
canadianart_0,"[[778306857395888128, 779101989179428864]]",topic 3
canadianart_0,"[[778306857395888128, 779101989179428864]]",topic 2
canelo_4,"[[777415021324218368, 777434883073384448]]",topic 30
canelo_4,"[[777415021324218368, 777434883073384448]]",topic 29
canolaconnect_0,"[[778978798209470464, 778981242637160449, 779081292193394689]]",topic 1
cape cod_1,"[[777614758795177984, 777668010601504769, 777703628362485763, 777976231794835456, 777993935872413698, 777999545905078274, 778007441925632000, 778014335389970432, 778265530209665024, 778270426170396672, 778272551147483136, 778314294152814593, 778357899139489793, 779111661810683904, 779117232316149760, 779150491150348288]]",topic 82
cape cod_1,"[[777614758795177984, 777668010601504769, 777703628362485763, 777976231794835456, 777993935872413698, 777999545905078274, 778007441925632000, 778014335389970432, 778265530209665024, 778270426170396672, 778272551147483136, 778314294152814593, 778357899139489793, 779111661810683904, 779117232316149760, 779150491150348288]]",topic 81
cape_12,"[[778263939759104002, 778561046357377024, 779039960259260417, 779105442962219008]]",topic 63
cape_12,"[[778263939759104002, 778561046357377024, 779039960259260417, 779105442962219008]]",topic 58
cape_9,"[[777520839113580544, 778617066802642944]]",topic 33
cape_9,"[[777520839113580544, 778617066802642944]]",topic 34
capecod_14,"[[778412006659481600, 778562832413577216]]",topic 82
capecod_14,"[[778412006659481600, 778562832413577216]]",topic 81
capitola beach_0,"[[777571520793149442, 777625547836760064, 778439987192696834]]",topic 80
capsuleshow_0,"[[777502148913426432, 777506733233090560, 777509323433844737, 777518445747404800, 777521582780678144, 777543829398237184, 777595781654077440, 777597580830138369, 777611646923485184]]",topic 5
capsuleshow_0,"[[777502148913426432, 777506733233090560, 777509323433844737, 777518445747404800, 777521582780678144, 777543829398237184, 777595781654077440, 777597580830138369, 777611646923485184]]",topic 2
cardinal game_1,"[[777577248803008512, 777581395023532032, 777593748825972738, 777619045420044288, 777631819852345344]]",topic 36
cardinal game_1,"[[777577248803008512, 777581395023532032, 777593748825972738, 777619045420044288, 777631819852345344]]",topic 37
career flexibility_0,"[[777598257576804352, 777920100640829441]]",topic 28
carolinapanther_0,"[[777507295353856000, 777511703143645184]]",topic 36
carolinapanther_0,"[[777507295353856000, 777511703143645184]]",topic 37
carrieunderwood_0,"[[778403722489688065, 778408302636068864, 778450017702981632, 778452227622973440, 778453196880478208, 778453942195724288, 778714515454107648, 778445363413823488]]",topic 58
carrieunderwood_0,"[[778403722489688065, 778408302636068864, 778450017702981632, 778452227622973440, 778453196880478208, 778453942195724288, 778714515454107648, 778445363413823488]]",topic 61
carrollwood_2,"[[778343354555695105, 778626200277127168]]",topic 28
catalina island_0,"[[777398055280775169, 777534539384193024, 778054303755874304, 778313809748385792, 778555954702974976]]",topic 83
catalina island_0,"[[777398055280775169, 777534539384193024, 778054303755874304, 778313809748385792, 778555954702974976]]",topic 81
catawba college_0,"[[777635007246569473, 778032146065784832, 779069574281043968]]",topic 37
catawba college_0,"[[777635007246569473, 778032146065784832, 779069574281043968]]",topic 36
cbc_0,"[[777384378145976320, 777387902309367808, 777388405919518720, 777402894349766657, 777529206229962752, 777365324308049921, 777365678986702848]]",topic 65
cbc_0,"[[777384378145976320, 777387902309367808, 777388405919518720, 777402894349766657, 777529206229962752, 777365324308049921, 777365678986702848]]",topic 58
cbcfalc16_0,"[[777413764819853312, 777497130290257920, 777522180376723456, 777526421501599746, 777589296802959364, 777599554120192001, 777643129549819904, 777357939468333057, 777361836278558720, 777368954826133504, 777929256944930817, 777982834799734785, 778190182558396416]]",topic 3
cbcfalc16_0,"[[777413764819853312, 777497130290257920, 777522180376723456, 777526421501599746, 777589296802959364, 777599554120192001, 777643129549819904, 777357939468333057, 777361836278558720, 777368954826133504, 777929256944930817, 777982834799734785, 778190182558396416]]",topic 2
cbs_3,"[[777570129467043841, 777729928246636544, 777743231417286656, 778281234631884800, 778351870767161344, 778725889785802753, 778786670728581120, 778825377934258176]]",topic 58
cbs_3,"[[777570129467043841, 777729928246636544, 777743231417286656, 778281234631884800, 778351870767161344, 778725889785802753, 778786670728581120, 778825377934258176]]",topic 66
cbusfoodscene_0,"[[777551477002735616, 778383655605510144, 779076429984051201]]",topic 34
cbusfoodscene_0,"[[777551477002735616, 778383655605510144, 779076429984051201]]",topic 33
cedarrapid_0,"[[777731488364294144, 778980848477491205, 778997379643039744, 779000270227435520, 779021999867695104, 779048840108187648]]",topic 16
celinedionvegas_0,"[[778410209823907840, 778780588262170624, 779000202405392385]]",topic 31
celinedionvegas_0,"[[778410209823907840, 778780588262170624, 779000202405392385]]",topic 29
central park_0,"[[777468694444306432, 777508401114812416, 777536112407506944, 777541786893897728, 777542065173491713, 777543830182604800, 777584258336555008, 777585102658220033, 777597310985445376, 777599423949910016, 777599672965820416, 777661312310480896, 777663284812115968, 777679173213036544, 777683781813673984, 777685043783229445, 777693928510423040, 777699517907005440, 777713601075294209, 777736491661418497, 777816537453498368, 777859330695569408, 777863042356740096, 777890809274372096, 777900658687025153, 777916273523101696, 777926364414480384, 777989060866428928, 777993233221705728, 778133737351569409, 778334280594456576, 778384193185312768, 778385365371674624, 778415220242976769, 778451615120359426, 778524300726894593, 778560479522324480, 778608014064488448, 778617166761435136, 778648847623028736, 778649648797982720, 778686399583137792, 778709619996659712, 778711467520471040, 778716256308342789, 778734822998945792, 778737969351958528, 778765670460817408, 778778119347970048, 778791415384014849, 778799615000784896, 778817421905793024, 778946108903067648, 778980346381688833, 778994294124318720, 779035569393467404, 779045868062277632, 779064220226912261, 779065243171291137, 779068541169311744, 779072239299878912, 779074858181357568, 779074948165931008, 779079531852292096, 779091417020833792, 779096976465891328, 779127691769438209, 779140283413954560, 779140956368965632, 779141898824843264]]",topic 82
central park_0,"[[777468694444306432, 777508401114812416, 777536112407506944, 777541786893897728, 777542065173491713, 777543830182604800, 777584258336555008, 777585102658220033, 777597310985445376, 777599423949910016, 777599672965820416, 777661312310480896, 777663284812115968, 777679173213036544, 777683781813673984, 777685043783229445, 777693928510423040, 777699517907005440, 777713601075294209, 777736491661418497, 777816537453498368, 777859330695569408, 777863042356740096, 777890809274372096, 777900658687025153, 777916273523101696, 777926364414480384, 777989060866428928, 777993233221705728, 778133737351569409, 778334280594456576, 778384193185312768, 778385365371674624, 778415220242976769, 778451615120359426, 778524300726894593, 778560479522324480, 778608014064488448, 778617166761435136, 778648847623028736, 778649648797982720, 778686399583137792, 778709619996659712, 778711467520471040, 778716256308342789, 778734822998945792, 778737969351958528, 778765670460817408, 778778119347970048, 778791415384014849, 778799615000784896, 778817421905793024, 778946108903067648, 778980346381688833, 778994294124318720, 779035569393467404, 779045868062277632, 779064220226912261, 779065243171291137, 779068541169311744, 779072239299878912, 779074858181357568, 779074948165931008, 779079531852292096, 779091417020833792, 779096976465891328, 779127691769438209, 779140283413954560, 779140956368965632, 779141898824843264]]",topic 81
centralpark_0,"[[777382463354114048, 777576023739301888, 777602345739902977, 777649412319350784, 777679173213036544, 777706623850512384, 777723749923627010, 777743451504992256, 777744718285463556, 777758984308686848, 777816537453498368, 777822084319903744, 778009059165368320, 778009998097915904, 778068572656443392, 778127726280601600, 778176939983077376, 778259564303032320, 778274545681641472, 778286971252867072, 778287099523072000, 778296784867254272, 778372254946168832, 778402126800314368, 778425589816500224, 778524300726894593, 778534024570560512, 778544642635632640, 778555926991114240, 778562740705165312, 778648847623028736, 778649976385728512, 778673615432736768, 778694631273799680, 778884201600913408, 778961771037986816, 778982698127765504, 778983292343320576, 778985376048410624, 779068541169311744, 779074858181357568, 779074948165931008, 779080656546566144, 779084043468075008, 779087623209877505, 779088362355453952, 779091417020833792, 779101326303199232, 779130065393033218, 779140283413954560, 779156053808254977]]",topic 82
centralpark_0,"[[777382463354114048, 777576023739301888, 777602345739902977, 777649412319350784, 777679173213036544, 777706623850512384, 777723749923627010, 777743451504992256, 777744718285463556, 777758984308686848, 777816537453498368, 777822084319903744, 778009059165368320, 778009998097915904, 778068572656443392, 778127726280601600, 778176939983077376, 778259564303032320, 778274545681641472, 778286971252867072, 778287099523072000, 778296784867254272, 778372254946168832, 778402126800314368, 778425589816500224, 778524300726894593, 778534024570560512, 778544642635632640, 778555926991114240, 778562740705165312, 778648847623028736, 778649976385728512, 778673615432736768, 778694631273799680, 778884201600913408, 778961771037986816, 778982698127765504, 778983292343320576, 778985376048410624, 779068541169311744, 779074858181357568, 779074948165931008, 779080656546566144, 779084043468075008, 779087623209877505, 779088362355453952, 779091417020833792, 779101326303199232, 779130065393033218, 779140283413954560, 779156053808254977]]",topic 81
centurycity_0,"[[777650817222467585, 777926911829782528, 778675793199267841, 779019832414969856, 779080888646676481]]",topic 16
centurylink field_0,"[[777681839976812544, 778692020369895425, 779040477240758272]]",topic 37
centurylink field_0,"[[777681839976812544, 778692020369895425, 779040477240758272]]",topic 36
cerrito_0,"[[777716555807395840, 778109398216536064, 778257127521394689, 778266333939064832, 778354698017398785, 778992665849241600]]",topic 34
cerrito_0,"[[777716555807395840, 778109398216536064, 778257127521394689, 778266333939064832, 778354698017398785, 778992665849241600]]",topic 33
cfe arena_0,"[[777610163809292288, 777642727571947520, 777644984996626435, 777645847823679489, 777679169337565184, 777687961441796096, 777707287842521088, 777710099632648192, 777869809463812096]]",topic 58
cfe arena_0,"[[777610163809292288, 777642727571947520, 777644984996626435, 777645847823679489, 777679169337565184, 777687961441796096, 777707287842521088, 777710099632648192, 777869809463812096]]",topic 63
cfs_0,"[[777588256636411905, 777596843861639169, 777922156411760640]]",topic 37
cfs_0,"[[777588256636411905, 777596843861639169, 777922156411760640]]",topic 36
chamblee_0,"[[777626110355832832, 778627177633812480]]",topic 16
chancetherapper_0,"[[777383530443649024, 777394974786584576, 777429903830581248, 777508259812958208]]",topic 81
chancetherapper_0,"[[777383530443649024, 777394974786584576, 777429903830581248, 777508259812958208]]",topic 82
chandleraz_0,"[[777537557601017856, 777833776734834688]]",topic 28
charger_2,"[[777626936684212224, 777630356325281792, 777638929612861440, 777646762270060544, 777655335196643328, 777658216670986240, 777671503106215936, 777679509508100096, 777685187161317377, 777714642764308480, 777724339424722945, 777735669615566848, 777741574838956032, 777742216135598080, 777768040289095680]]",topic 37
charger_2,"[[777626936684212224, 777630356325281792, 777638929612861440, 777646762270060544, 777655335196643328, 777658216670986240, 777671503106215936, 777679509508100096, 777685187161317377, 777714642764308480, 777724339424722945, 777735669615566848, 777741574838956032, 777742216135598080, 777768040289095680]]",topic 36
charity runner_0,"[[777467033059414016, 777553372245295104]]",topic 81
charity runner_0,"[[777467033059414016, 777553372245295104]]",topic 82
charlestonsc_1,"[[777843701376753664, 777874734910312448, 777878980259155969, 778012537560391680, 778261931614474240, 778427622464163840, 778081934295588866]]",topic 2
charlestonsc_1,"[[777843701376753664, 777874734910312448, 777878980259155969, 778012537560391680, 778261931614474240, 778427622464163840, 778081934295588866]]",topic 3
charlottefashionweek_0,"[[778360861165510656, 778752114545700864, 779099636065796096]]",topic 2
charlottefashionweek_0,"[[778360861165510656, 778752114545700864, 779099636065796096]]",topic 5
charlottenc_2,"[[777513545210658817, 777556718339313664, 777625651125690368, 778602933025804288, 778752655640391680, 778769078374641664, 779008087713808389, 779014943588823040]]",topic 36
charlottenc_2,"[[777513545210658817, 777556718339313664, 777625651125690368, 778602933025804288, 778752655640391680, 778769078374641664, 779008087713808389, 779014943588823040]]",topic 37
chautauqua park_0,"[[778281724396597248, 778601442856824832]]",topic 58
chautauqua park_0,"[[778281724396597248, 778601442856824832]]",topic 63
cheektowaga_0,"[[778282752634302464, 778641455892013057, 779053963307982848, 779069539732430848, 779071048943742976, 779096306098679808, 779122087407460352, 779160777001406464]]",topic 16
cheesesteak_1,"[[777648139310333952, 777675392589201408, 778268639338360833, 778288178721656832, 778292794737557504, 778419107196575744, 778583295609147392, 778717578160058368]]",topic 34
cheesesteak_1,"[[777648139310333952, 777675392589201408, 778268639338360833, 778288178721656832, 778292794737557504, 778419107196575744, 778583295609147392, 778717578160058368]]",topic 33
chelseamarket_0,"[[777568629290176512, 778957445335027713, 778981428977557508]]",topic 34
chelseamarket_0,"[[777568629290176512, 778957445335027713, 778981428977557508]]",topic 33
chi_6,"[[777527303387680768, 777551333842837505, 777552262658863104, 777585772748689408, 777610589589893121, 777651562202198018, 777657434999488512, 777657861241442304, 777689746655109120, 777717049355186178, 777919979228233728, 778071446803275776, 778655461629235200, 778672763640750080, 778685172153618433, 778976469863178240, 778984271650447364, 779031783165792257, 779096371919892481, 779100422116081664, 779118195533840384]]",topic 58
chi_6,"[[777527303387680768, 777551333842837505, 777552262658863104, 777585772748689408, 777610589589893121, 777651562202198018, 777657434999488512, 777657861241442304, 777689746655109120, 777717049355186178, 777919979228233728, 778071446803275776, 778655461629235200, 778672763640750080, 778685172153618433, 778976469863178240, 778984271650447364, 779031783165792257, 779096371919892481, 779100422116081664, 779118195533840384]]",topic 61
chicago midway_0,"[[777867659539087360, 777992647025754117, 778001015287246849, 778017669073207296, 778063713609715712, 778571839677337600, 778579665296457728]]",topic 0
chicago ohare_0,"[[777525618359566336, 777658470950637569, 777959210986471424, 778014320093372416, 778394872885678080, 778400737709744128, 778765823976493057, 778942468188282881, 778965096471166976, 779028319903723520, 779046464471207936, 779060220265922561]]",topic 0
