localword,tweetid,type
actress_2,"[[777554547203936256, 777678123781554176, 777945240661532672, 778383249974239233]]",topic 7
actress_7,"[[777641315999682560, 777670165584572418, 777674091281002496, 777796092620599296, 778416474901716993]]",topic 37
actress_7,"[[777641315999682560, 777670165584572418, 777674091281002496, 777796092620599296, 778416474901716993]]",topic 36
actress_8,"[[778300508448690176, 778357742616584193, 778610339571232768]]",topic 5
actress_8,"[[778300508448690176, 778357742616584193, 778610339571232768]]",topic 2
adcolor_0,"[[777700847270625280, 777952970344435712, 777961603694231552, 778029408217096192, 778337705608359936, 778375372492541952, 778441445912907776, 778587298036224000, 778606395738329089, 778663387316170752, 778709087819223041, 778720314762989568, 778961905222242304, 779018297861738496, 779026288505974785]]",topic 32
adcolor_0,"[[777700847270625280, 777952970344435712, 777961603694231552, 778029408217096192, 778337705608359936, 778375372492541952, 778441445912907776, 778587298036224000, 778606395738329089, 778663387316170752, 778709087819223041, 778720314762989568, 778961905222242304, 779018297861738496, 779026288505974785]]",topic 29
addison circle_0,"[[777694170312040448, 777700281693900804, 777864765477625856]]",topic 34
addison circle_0,"[[777694170312040448, 777700281693900804, 777864765477625856]]",topic 33
adele_4,"[[777504140977180672, 777566249706369024, 777789462214574080, 777963305071742976, 777996095116849152, 778016102437752832, 778022062787031040, 778024226120953856, 778025504217726976, 778036844390912000, 778053811411689473, 778063101010841600, 778076306600759296, 778080170385215489, 778205186498170882, 778220626721005569, 778225196893401089, 778226547832545280, 778227196926234624, 778267667408916480, 778304921183592450, 778321189211103233, 778340890955833344, 778349001477386240, 778351660989112324, 778357908006404096, 778366272597876737, 778373114275127296, 778378867664977920, 778384139804368896, 778384340514373632, 778404440705466368, 778411020222099456, 778420549420654592, 778421594490281984, 778422063224786944, 778422464825135104, 778423412305883136, 778425760390545408, 778426320728559616, 778426759851028480, 778428934698496000, 778431039962316851, 778435381356142592, 778437327572074496, 778438575054475265, 778441953356554240, 778443351393570816, 778443429692846081, 778081810844684288, 778459436503273473, 778460007050252288, 778477516587696128, 778480741176971264, 778546422274748417, 778548136532992000, 778548751044636672, 778579502636990468, 778594038165405696, 778600276714336256, 778607437674721280, 778449712252801024, 779039201715159041, 779074423819304960, 779078715003244545, 779082708790247426, 779088749221310464, 779094658643292161, 779108737005084676, 779108926361133057, 779115853434544128, 779122230668255232, 779125624191549440, 779126759992156160, 779144770354614272, 779156704156127233, 779159985779605504]]",topic 63
adele_4,"[[777504140977180672, 777566249706369024, 777789462214574080, 777963305071742976, 777996095116849152, 778016102437752832, 778022062787031040, 778024226120953856, 778025504217726976, 778036844390912000, 778053811411689473, 778063101010841600, 778076306600759296, 778080170385215489, 778205186498170882, 778220626721005569, 778225196893401089, 778226547832545280, 778227196926234624, 778267667408916480, 778304921183592450, 778321189211103233, 778340890955833344, 778349001477386240, 778351660989112324, 778357908006404096, 778366272597876737, 778373114275127296, 778378867664977920, 778384139804368896, 778384340514373632, 778404440705466368, 778411020222099456, 778420549420654592, 778421594490281984, 778422063224786944, 778422464825135104, 778423412305883136, 778425760390545408, 778426320728559616, 778426759851028480, 778428934698496000, 778431039962316851, 778435381356142592, 778437327572074496, 778438575054475265, 778441953356554240, 778443351393570816, 778443429692846081, 778081810844684288, 778459436503273473, 778460007050252288, 778477516587696128, 778480741176971264, 778546422274748417, 778548136532992000, 778548751044636672, 778579502636990468, 778594038165405696, 778600276714336256, 778607437674721280, 778449712252801024, 779039201715159041, 779074423819304960, 779078715003244545, 779082708790247426, 779088749221310464, 779094658643292161, 779108737005084676, 779108926361133057, 779115853434544128, 779122230668255232, 779125624191549440, 779126759992156160, 779144770354614272, 779156704156127233, 779159985779605504]]",topic 58
adeleconcert_0,"[[778384139804368896, 778438575054475265, 779096988767760386]]",topic 58
adeleconcert_0,"[[778384139804368896, 778438575054475265, 779096988767760386]]",topic 61
adelelive2016_2,"[[778011634983903232, 778080170385215489, 778104780690485248, 778205186498170882, 778258241713307648, 778264081564372992, 778304921183592450, 778372878311960576, 778378867664977920, 778425665368358912, 778438575054475265, 778443429692846081, 779136631903092737, 779144770354614272, 779161420046950400, 779164226237636608, 779167161507909632]]",topic 63
adelelive2016_2,"[[778011634983903232, 778080170385215489, 778104780690485248, 778205186498170882, 778258241713307648, 778264081564372992, 778304921183592450, 778372878311960576, 778378867664977920, 778425665368358912, 778438575054475265, 778443429692846081, 779136631903092737, 779144770354614272, 779161420046950400, 779164226237636608, 779167161507909632]]",topic 58
adk_1,"[[777469282213064704, 777552013815078914, 777592473656893440, 778734136093618177, 778754897344770048]]",topic 82
adk_1,"[[777469282213064704, 777552013815078914, 777592473656893440, 778734136093618177, 778754897344770048]]",topic 81
adpicsuf_0,"[[778078962723553281, 778095413454860289, 778116413026426881, 778323244621373440]]",topic 24
adpicsuf_0,"[[778078962723553281, 778095413454860289, 778116413026426881, 778323244621373440]]",topic 22
aerosmith_0,"[[777391850747330560, 777397059846569985, 777409458796388353, 777418448972484609, 777420675728506880, 777428673519583232, 777514355382452224, 777556322501922816, 777557614490181632, 777603465925177344, 777612703653330946]]",topic 58
aerosmith_0,"[[777391850747330560, 777397059846569985, 777409458796388353, 777418448972484609, 777420675728506880, 777428673519583232, 777514355382452224, 777556322501922816, 777557614490181632, 777603465925177344, 777612703653330946]]",topic 61
africanamerican_1,"[[777652409241899008, 778281393642205185]]",topic 3
africanamerican_1,"[[777652409241899008, 778281393642205185]]",topic 2
agourahill_0,"[[778708798424821760, 778973166332882944, 779013658554753024, 779039792566632449, 779088130347458560, 779104731608211456]]",topic 16
air canada centre_1,"[[777995618501398528, 777999875724025856, 778000299286007808, 778015752850923520, 778097522069872640, 778323797451481088, 778374095184490497, 778378493398843393, 778380837591015424, 778380917077344257, 778381890784944128, 778387032536121344, 778391017909133312, 778396576267972608, 778402032298389508, 778403828219670534, 778406548305547264, 778681205348704257, 778686845584420864, 778732973768093696, 778745590846988288, 778756835201454080, 778758727369457668, 778773756885995520, 779033196910350338, 779072908484194305, 779078232817545216, 779106958741803008, 779107946013786112, 779118067548696577, 779136290721820672, 779139007288532992, 779149726318866432, 779163443781775362, 779164642824159234]]",topic 37
